31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,12
31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,-100,-100,-100
31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,12,10,-100
31,28,31,1,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,12,10,-100
10,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,12
31,28,31,30,31,30,31,31,30,31,-5,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,-100
10,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,12
31,28,31,30,31,30,50,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,-100
31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,-100
31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,0
31,28,31,30,31,30,31,31,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,-100
31,28,31,30,31,30,12,10,30,31,30,31,30,24,25,16,25,24,29,30,10,12,14,15,16,13,18,14,19,30,5
